百货商店 デパート
食堂[食堂] しょくどう
邮局[郵便局] ゆうびんきょく 
银行[銀行] ぎんこう
图书馆[図書館] としょかん 
高级公寓 マンション
宾馆 ホテル
便利店 コンビニ 
咖啡馆[喫茶店] きっさてん
医院[病院] びょういん
书店[本屋] ほんや 
餐馆，西餐馆 レストラン
大楼，大厦 ビル
大楼，建筑物[建物] たてもの 
柜台，出售处[売り場] うりば
厕所 トイレ
洗手间[お手洗い] おてあらい
入口[入り口] いりぐち
事务所，办事处[事務所] じむしょ
接待处[受付] うけつけ
降价处理大卖场[～会場] バーゲンかいじょう
自动扶梯 エスカレーター
衣服[服] ふく
风衣，大衣 コート
数码相机 デジカメ
国家，国[国] くに
地图[地図] ちず
旁边[隣] となり
附近，周边[周辺] しゅうへん
今天[今日] きょう
这儿 ここ
那儿1 そこ
那儿2 あそこ
这儿（礼貌） こちら
那儿1（礼貌） そちら
那儿2（礼貌） あちら
哪儿 どこ
哪儿（礼貌） どちら
请问 あのう
上海[上海] シャンハイ
东京[東京] とうきょう
多少钱 いくら
