郊游(远足) ハイキング
分别(分手)[お別れ] おわかれ
说话[話] はなし
送行(送别)[見送り] みおくり
时间(期间)[間] あいだ
法律[法律] ほうりつ
想(思考)[思う] おもう
说(讲)[言う] いう
找(寻找)(寻求)[探す] さがす
笑[笑う] わらう
戒(停止)(放弃) やめる
决定[決める] きめる
睡懒觉(动3) ねぼうする
外出(出去)(动3) がいしゅつする
研究(动3) けんきゅうする
可笑(滑稽) おかしい
满(副词) いっぱい
惊人的(了不起) すごい
终于(终究)(到底)(副词) とうとう
一定(必定)(副词)[必ず] かならず
绝对(副词)[絶対に] ぜったいに
承蒙照顾[お世話になりました] おせわになりました
请带问好 よろしくおつたえください
请多保重[お元気で] おげんきで
小心点儿[気をつけて] きをつけて
再见 さようなら
怎样(如何)(询问方法比如问路) どうやって
有用[役に立ちます] やくにたちます
吃饱(饱) おなかがいっぱいです
关于~ について
