送货上门服务[宅配便] たくはいびん
报告书[報告書] ほうこくしょ
梅雨[梅雨] つゆ
秋天[秋] あき
郊游 ピクニック
景点(浏览地)[行楽地] こうらくち
比萨饼 ピザ
末班电车[終電] しゅうでん
候诊室(等候室)[待合室] まちあいしつ
病人(患者)[患者] かんじゃ
烟灰缸[灰皿] はいざら
烟头[吸殻] すいがら
牙齿[歯] は
他[彼] かれ
到齐(齐全)(动1) そろう
顺便去(靠近)(动1)[寄る] よる
开(开张)(动1)[開く] ひらく
搬迁(搬家)(动1)[引っ越す] ひっこす
迎接(动2)[迎える] むかえる
出故障(坏)(动2)[壊れる] こわれる
搞错(动2)[間違える] まちがえる
出发(动3)[出発する] しゅっぱつする
换工作(动3)[転職する] てんしょくする
轮胎爆裂(动3) パンクする
寂寞(形1)[寂しい] さびしい
愉快(期待)(形2)[楽しみ] たのしみ
朴(姓氏)[朴] パク
坐船浏览长江两岸风光[長江下り] ちょうこうくだり
香山[香山] こうざん
北京植物园[北京植物園] ぺきんしょくぶつえん
没有办法[仕方ない] しかたない
