语言[言葉] ことば
邮件地址 メールアドレス
连休[連休] れんきゅう
黄金周 ゴールデンウィーク
结束[終わり] おわり
休息时间[休憩時間] きゅうけいじかん
京剧[京劇] きょうげき
票(券)[切符] きっぷ
身体[体] からだ
地震[地震] じしん
小偷(盗贼)[泥棒] どろぼう
停车场[駐車場] ちゅうしゃじょう
交给[渡す] わたす
迟到[遅れる] おくれる
考虑[考える] かんがえる
调查[調べる] しらべる
穿[着る] きる
预约(预定)[予約する] よやくする
感谢[感謝する] かんしゃする
运动[運動する] うんどうする
洗涤(洗)[洗濯する] せんたくする
报告[報告する] ほうこくする
危险[危ない] あぶない
还是(或者) それとも
东京塔 東京タワー
那么 そんなに
