中国人 ちゅうごくじん
日本人 にほんじん
韩国人 かんこくじん
美国人 あめりかじん
法国人 ふらんすじん
大学生 がくせい
老师 せんせい
留学生 りゅうがくせい
教授 きょうじゅ
职员 しゃいん
公司职员 かいしゃいん
店员 てんいん
进修生 けんしゅうせい
企业 きぎょう
大学 だいがく
我父亲 ちち
科长 かちょう
总经理，社长 しゃちょう
迎接 でむかえ
那个人 あのひと
我 わたし
你 あなた
非常，很(问候或表达感谢的用语) どうも
是的 はい
不，不是 いいえ
李 り
王 おう
张 ちょう
森 もり
林 はやし
小野 おの
吉田 よしだ
田中 たなか
中村 なかむら
太郎 たろう
金 きん
中国 ちゅうごく
东京大学 とうきょうだいがく
北京大学 ぺきんだいがく
JC策划公司 JCきかく
北京旅行社 ぺきんりょこうしゃ
你好 こんにちは
对不起，请问 すみません
请多关照 よろしくおねがいします
初次见面 はじめまして
我才要 こちらこそ
是（这样） そうです
不是 ちがいます
不知道 わかりません
实在对不起 どうもすみません
