季节[季節] きせつ
冬天[冬] ふゆ
春天[春] はる
夏天[夏] なつ
秋天[秋] あき
日式饭菜[日本料理] にほんりょうり
寿司[寿司] すし
梨 ナシ
香蕉 バナナ
橘子 ミカン
烧酒[焼酎] しょうちゅう
日本酒[日本酒] にほんしゅ
红茶[紅茶] こうちゃ
乌龙茶 ウーロン茶
茉莉花茶 ジャスミン茶
绿茶[緑茶] りょくちゃ
果汁 ジュース
声望,受欢迎[人気] にんき
座位,坐席[席] せき
班级 クラス
种类[種類] しゅるい
个子[背] せ
哥哥[兄] あに
最近,近来[最近] さいきん
年轻(形容词)[若い] わかい
温暖,暖和(形容词)[暖かい] あたたかい
凉爽(形容词)[涼しい] すずしい
快(形容词)[速い] はやい
非常喜欢(形容词)[大好き] だいすき
第一,最[一番] いちばん
~得多 ずっと
仍然,还是(偏正式) やはり
仍然,还是(偏口语) やっぱり
珠穆朗玛峰 チョモランマ
受欢迎[人気があります] にんきがあります
下(雨/雪)[降る] ふる
