数学[数学] すうがく
专门[専門] せんもん
女演员[女優] じょゆう
营业科[営業課] えいぎょうか
市内(市街)(繁华街道)[市街] しがい
道路(马路)[道路] どうろ
交通流量(通行量)[交通量] こうつうりょう
机场[空港] くうこう
高速公路[高速道路] こうそくどうろ
零件制造厂[部品工場] ぶひんこうじょう
电梯 エレベーター
图画书(连环画)[絵本] えほん
大自然[自然] しぜん
工资[給料] きゅうりょう
今天晚上[今夜] こんや
伤[怪我] けが
时差[時差] じさ
跑(奔跑)[走る] はしる
住(过夜)(住宿)[泊まる] とまる
连接(系)[結ぶ] むすぶ
印(记下)[取る] とる
出生(诞生)[生まれる] うまれる
倒闭(破产)(动3)[倒産する] とうさんする
堵车(停滞)(动3)[渋滞する] じゅうたいする
确认(动3) チェックする
充裕(丰富)(形2)[豊] ゆたか
大的(连体) おおきな
小的(连体) ちいさな
并不(副)[別に] べつに
中国航空[中国航空] ちゅうごくこうくう
三环路 さんかんろ
这一带(这附近) このあたり
