哎/劳驾/有点/稍微/有点儿/不太 ちょっと
大爷/大叔/伯伯/叔叔/舅舅 おじさん
姐姐[お姉さん] おねえさん
自动门[自動～] じどうドア
闹钟[目覚まし時計] めざましどけい
父亲/爸爸[お父さん] おとうさん
不可思议/奇怪(形2)[不思議] ふしぎ
车站卖的盒饭[駅弁] えきべん
糖 あめ
舔/含(动2) なめる
初级中学/初中[中学校] ちゅうがっこう
考试/测验/测试 テスト
眼泪/泪[涙] なみだ
首都[首都] しゅと
急救车/救护车[救急車] きゅうきゅうしゃ
盖子/盖 ふた
展开/扩大/扩展(动2)[広げる] ひろげる
沸腾/烧开(动1)[沸く] わく
烧热/烧开(动1)[沸かす] わかす
毛巾 タオル
弄干/晾干(动1)[乾かす] かわかす
上海保险公司[上海保険] シャンハイほけん
大川[大川] おおかわ
非洲 アフリカ
长崎[長崎] ながさき
牧场[牧場] ぼくじょう
周围/附近[辺り] あたり
虾仁/虾 エビ
花生米 ピーナッツ
辣椒[唐辛子] とうがらし
炒(动2)[炒める] いためる
新年饭菜[～料理] おせちりょうり
正月/新年[正月] しょうがつ
庆贺/祝贺[お祝い] おいわい
幸运/好运/侥幸[幸運] こううん
到来/来临/访问(动2)[訪れる] おとずれる
养育/抚育/培养(动2)[育てる] そだてる
国际[国際] こくさい
