如果是孩子的话倒也罢了,没想到你们这些大学生竟然做这种事 子供ならともかく、大学生の君たちそんなことをするとは
我才不抽烟呢 タバコなんてすわないよ
前辈告诉了我面试时的注意事项 先輩は面接にあたっての注意事項を教えてくれた
当时的海外旅行,简直是不可能的 海外旅行なんて、当時においては、不可能だった
根据预算制定计划 予算に応じて、計画を立てる
不管是喜欢还是讨厌,请好好做 好きか嫌いかには関わらず、ちゃんとしてください
尽管是暑假期间,还是在努力学习 夏休み中にも関わらず、頑張って勉強している
每次不打扫的时候,朋友总是来拜访 掃除していない時に限って、友達が訪ねてくる
这个学习会不限于学生,大人也可以参加 この勉強会には、学生に限らず、大人でも参加できる
