电车突然停了 電車が急に止まりました
房间的灯关着 部屋の電気が消えています
森先生把奖金都花光了 森さんはボーナスを全部使ってしまいました
这个蛋糕看上去很好吃 このケーキはおいしそうです
墙上挂着挂历 壁にカレンダーが掛けてあります
客人来之前把房间打扫好 お客さんが来る前に部屋を掃除しておきます
太田先生试着用汉字写了一封信 太田さんは中国語で手紙を書いてみました
我正为去日本留学攒钱 日本へ留学するためにお金をためています
明天要是下雨马拉松大会就不搞了 明日雨が降ったらマラソン大会は中止です
回到日本也请继续学习汉语 日本へ帰っても中国語の勉強を続けてください
今年的暑假只有三天 今年の夏休みは3日だけです
会议室只有小李一个人 会議室には李さんしかいません
我迟到了真抱歉 遅くなってすみません
这张照片申请护照用 この写真はパスポートの申請に使います
小张整天光喝酒 張さんは毎日お酒を飲んでばかりいます
可以看到机场入口处站着警官 空港の入り口に警官が立っているのが見えます
